subject,relation,object,pattern,source_url
Tine Urnaut,citizenOf,Slovenia,wikidata_structured,https://www.wikidata.org
Tomislav Čošković,citizenOf,Croatia,wikidata_structured,https://www.wikidata.org
Karch Kiraly,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Cosimo Gallotta,citizenOf,Italy,wikidata_structured,https://www.wikidata.org
Christian Dünnes,citizenOf,Germany,wikidata_structured,https://www.wikidata.org
Jens Larsen,citizenOf,Kingdom of Denmark,wikidata_structured,https://www.wikidata.org
Ivan Knezević,citizenOf,Montenegro,wikidata_structured,https://www.wikidata.org
Iván Laszczik,citizenOf,Hungary,wikidata_structured,https://www.wikidata.org
Ivan Luiz Fagundes Walter,citizenOf,Brazil,wikidata_structured,https://www.wikidata.org
Ivan Tropan,citizenOf,Croatia,wikidata_structured,https://www.wikidata.org
Ivaylo Barutov,citizenOf,Bulgaria,wikidata_structured,https://www.wikidata.org
Ivaylo Gavrilov,citizenOf,Bulgaria,wikidata_structured,https://www.wikidata.org
Ivan Luiz Fagundes Walter,citizenOf,France,wikidata_structured,https://www.wikidata.org
Jaanus Nõmmsalu,citizenOf,Estonia,wikidata_structured,https://www.wikidata.org
Jacek Kurzawiński,citizenOf,Poland,wikidata_structured,https://www.wikidata.org
Jakub Salon,citizenOf,Czech Republic,wikidata_structured,https://www.wikidata.org
Jakub Veselý,citizenOf,Czech Republic,wikidata_structured,https://www.wikidata.org
Jari Tuominen,citizenOf,Finland,wikidata_structured,https://www.wikidata.org
Jasmin Čuturić,citizenOf,Slovenia,wikidata_structured,https://www.wikidata.org
Jaromír Koláčný,citizenOf,Czech Republic,wikidata_structured,https://www.wikidata.org
Jarryd Christensen,citizenOf,Australia,wikidata_structured,https://www.wikidata.org
Jacques Yoko,citizenOf,France,wikidata_structured,https://www.wikidata.org
Jakub Łomacz,citizenOf,Poland,wikidata_structured,https://www.wikidata.org
Jakub Veselý,citizenOf,Poland,wikidata_structured,https://www.wikidata.org
Javier González Pantón,citizenOf,Cuba,wikidata_structured,https://www.wikidata.org
Jean-Baptiste Martzluff,citizenOf,France,wikidata_structured,https://www.wikidata.org
Ismaïl Moalla,citizenOf,Tunisia,wikidata_structured,https://www.wikidata.org
Jean-François Pérez,citizenOf,France,wikidata_structured,https://www.wikidata.org
Jean-Marc Biasio,citizenOf,France,wikidata_structured,https://www.wikidata.org
Jean-Marc Jurkovitz,citizenOf,France,wikidata_structured,https://www.wikidata.org
Jean-Michel Roche,citizenOf,France,wikidata_structured,https://www.wikidata.org
Jean-Philippe Sol,citizenOf,France,wikidata_structured,https://www.wikidata.org
Jean Puig,citizenOf,France,wikidata_structured,https://www.wikidata.org
Jesse Mäntylä,citizenOf,Finland,wikidata_structured,https://www.wikidata.org
Jean Patrice Ndaki Mboulet,citizenOf,Cameroon,wikidata_structured,https://www.wikidata.org
Jevgēņijs Grimailovs,citizenOf,Latvia,wikidata_structured,https://www.wikidata.org
Jean-René Akono,citizenOf,Cameroon,wikidata_structured,https://www.wikidata.org
Jiří Popelka,citizenOf,Czech Republic,wikidata_structured,https://www.wikidata.org
Jiří Šimeček,citizenOf,Czech Republic,wikidata_structured,https://www.wikidata.org
Richard Nemec,citizenOf,Slovakia,wikidata_structured,https://www.wikidata.org
Joni Markkula,citizenOf,Finland,wikidata_structured,https://www.wikidata.org
Jonathan Winder,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Johann Maillard,citizenOf,France,wikidata_structured,https://www.wikidata.org
Jonathan Bertrand,citizenOf,France,wikidata_structured,https://www.wikidata.org
Jonathan Rabaud,citizenOf,France,wikidata_structured,https://www.wikidata.org
Jesper Lundtang,citizenOf,Kingdom of Denmark,wikidata_structured,https://www.wikidata.org
Jonas Napier,citizenOf,Kingdom of Denmark,wikidata_structured,https://www.wikidata.org
Janne Heikkinen,citizenOf,Finland,wikidata_structured,https://www.wikidata.org
Jakub Novotný,citizenOf,Czech Republic,wikidata_structured,https://www.wikidata.org
Itamar Stein,citizenOf,Israel,wikidata_structured,https://www.wikidata.org
Jiří Zadražil,citizenOf,Czech Republic,wikidata_structured,https://www.wikidata.org
Jenia Grebennikov,citizenOf,France,wikidata_structured,https://www.wikidata.org
Jenia Grebennikov,citizenOf,Russia,wikidata_structured,https://www.wikidata.org
John Barret,citizenOf,Canada,wikidata_structured,https://www.wikidata.org
Iván Márquez,citizenOf,Venezuela,wikidata_structured,https://www.wikidata.org
Johan Cohen,citizenOf,France,wikidata_structured,https://www.wikidata.org
Jiří Novák,citizenOf,Czech Republic,wikidata_structured,https://www.wikidata.org
Jiří Cerha,citizenOf,Czech Republic,wikidata_structured,https://www.wikidata.org
Jiří Kovář,citizenOf,Czech Republic,wikidata_structured,https://www.wikidata.org
Jiří Kovář,citizenOf,Italy,wikidata_structured,https://www.wikidata.org
Jean-Charles Monneraye,citizenOf,France,wikidata_structured,https://www.wikidata.org
Idner Faustino Lima Martins,citizenOf,Brazil,wikidata_structured,https://www.wikidata.org
Steve Timmons,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Philip Schneider,citizenOf,Austria,wikidata_structured,https://www.wikidata.org
Sascha Heyer,citizenOf,Switzerland,wikidata_structured,https://www.wikidata.org
Alexander Horst,citizenOf,Austria,wikidata_structured,https://www.wikidata.org
Rafael Pascual,citizenOf,Spain,wikidata_structured,https://www.wikidata.org
Jaime Gómez,citizenOf,Mexico,wikidata_structured,https://www.wikidata.org
Todd Rogers,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Nikola Kovačević,citizenOf,Serbia,wikidata_structured,https://www.wikidata.org
Nico Freriks,citizenOf,Kingdom of the Netherlands,wikidata_structured,https://www.wikidata.org
Aleksandr Borisovich Savin,citizenOf,Russia,wikidata_structured,https://www.wikidata.org
Aleksandr Borisovich Savin,citizenOf,Soviet Union,wikidata_structured,https://www.wikidata.org
Kent Steffes,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Roy Chiu,citizenOf,Taiwan,wikidata_structured,https://www.wikidata.org
Ricardo Santos,citizenOf,Brazil,wikidata_structured,https://www.wikidata.org
Gustavo Endres,citizenOf,Brazil,wikidata_structured,https://www.wikidata.org
Vigor Bovolenta,citizenOf,Italy,wikidata_structured,https://www.wikidata.org
Bernardo Rezende,citizenOf,Brazil,wikidata_structured,https://www.wikidata.org
Stefan Kobel,citizenOf,Switzerland,wikidata_structured,https://www.wikidata.org
Arvid Kinder,citizenOf,Germany,wikidata_structured,https://www.wikidata.org
Edwin Benne,citizenOf,Kingdom of the Netherlands,wikidata_structured,https://www.wikidata.org
Axel Jacobsen,citizenOf,Kingdom of Denmark,wikidata_structured,https://www.wikidata.org
Ivan Miljković,citizenOf,Serbia,wikidata_structured,https://www.wikidata.org
Vladimir Grbić,citizenOf,Serbia,wikidata_structured,https://www.wikidata.org
Alberto Cisolla,citizenOf,Italy,wikidata_structured,https://www.wikidata.org
Ruslan Olikhver,citizenOf,Russia,wikidata_structured,https://www.wikidata.org
Roberto Santilli,citizenOf,Italy,wikidata_structured,https://www.wikidata.org
Ruslan Olikhver,citizenOf,Soviet Union,wikidata_structured,https://www.wikidata.org
Luc Marquet,citizenOf,France,wikidata_structured,https://www.wikidata.org
Sergey Tetyukhin,citizenOf,Russia,wikidata_structured,https://www.wikidata.org
Sergey Tetyukhin,citizenOf,Soviet Union,wikidata_structured,https://www.wikidata.org
André Lopes,citizenOf,Portugal,wikidata_structured,https://www.wikidata.org
Matt Anderson,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Robert Horstink,citizenOf,Kingdom of the Netherlands,wikidata_structured,https://www.wikidata.org
Dominique Daquin,citizenOf,France,wikidata_structured,https://www.wikidata.org
Nikola Grbić,citizenOf,Serbia,wikidata_structured,https://www.wikidata.org
Dave Saunders,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Ivan Zaytsev,citizenOf,Italy,wikidata_structured,https://www.wikidata.org
Ivan Zaytsev,citizenOf,Russia,wikidata_structured,https://www.wikidata.org
Claudio Bonati,citizenOf,Italy,wikidata_structured,https://www.wikidata.org
Aleksandr Kosarev,citizenOf,Ukraine,wikidata_structured,https://www.wikidata.org
Raúl Lozano,citizenOf,Argentina,wikidata_structured,https://www.wikidata.org
Aleksandr Kosarev,citizenOf,Russia,wikidata_structured,https://www.wikidata.org
Miloš Stojković,citizenOf,Serbia,wikidata_structured,https://www.wikidata.org
Tibor Antalpéter,citizenOf,Hungary,wikidata_structured,https://www.wikidata.org
Karol Kłos,citizenOf,Poland,wikidata_structured,https://www.wikidata.org
Juan José Salvador,citizenOf,Spain,wikidata_structured,https://www.wikidata.org
Richard Lambourne,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Richard Schuil,citizenOf,Kingdom of the Netherlands,wikidata_structured,https://www.wikidata.org
Aleksandr Korneev,citizenOf,Russia,wikidata_structured,https://www.wikidata.org
Tuomas Sammelvuo,citizenOf,Finland,wikidata_structured,https://www.wikidata.org
Ariel Hilman,citizenOf,Israel,wikidata_structured,https://www.wikidata.org
Radosław Panas,citizenOf,Poland,wikidata_structured,https://www.wikidata.org
Emanuel Kohút,citizenOf,Slovakia,wikidata_structured,https://www.wikidata.org
Barry Brown,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Antonio Rodríguez,citizenOf,Cuba,wikidata_structured,https://www.wikidata.org
Christoph Schwarz,citizenOf,Germany,wikidata_structured,https://www.wikidata.org
Antonín Procházka,citizenOf,Czechoslovakia,wikidata_structured,https://www.wikidata.org
Carlos Teixeira,citizenOf,Portugal,wikidata_structured,https://www.wikidata.org
André Ferreira,citizenOf,Brazil,wikidata_structured,https://www.wikidata.org
Barry Goldberg,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Amauri Ribeiro,citizenOf,Brazil,wikidata_structured,https://www.wikidata.org
Andrew Grant,citizenOf,Australia,wikidata_structured,https://www.wikidata.org
Andrew Deveaux,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Andy Banachowski,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Andy Witt,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Andrew Pink,citizenOf,United Kingdom,wikidata_structured,https://www.wikidata.org
Andy Ardiyansah,citizenOf,Indonesia,wikidata_structured,https://www.wikidata.org
Anjinho Bacil,citizenOf,Brazil,wikidata_structured,https://www.wikidata.org
Andrzej Szewiński,citizenOf,Poland,wikidata_structured,https://www.wikidata.org
Anthony Medel,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Antônio Carlos Moreno,citizenOf,Brazil,wikidata_structured,https://www.wikidata.org
Andrés Manzanillo,citizenOf,Venezuela,wikidata_structured,https://www.wikidata.org
Arthur Alper,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Argo Meresaar,citizenOf,Estonia,wikidata_structured,https://www.wikidata.org
Arash Kamalvand,citizenOf,Iran,wikidata_structured,https://www.wikidata.org
Arnold Schulz,citizenOf,Germany,wikidata_structured,https://www.wikidata.org
Ashraf Abouelhassan,citizenOf,Egypt,wikidata_structured,https://www.wikidata.org
Ayberk Sevinç,citizenOf,Turkey,wikidata_structured,https://www.wikidata.org
Arnold Schulz,citizenOf,German Democratic Republic,wikidata_structured,https://www.wikidata.org
Farhad Ghaemi,citizenOf,Iran,wikidata_structured,https://www.wikidata.org
Barış Hamaz,citizenOf,Turkey,wikidata_structured,https://www.wikidata.org
Balwant Singh Sagwal,citizenOf,India,wikidata_structured,https://www.wikidata.org
Carlão,citizenOf,Brazil,wikidata_structured,https://www.wikidata.org
Benjamín Vicedo,citizenOf,Spain,wikidata_structured,https://www.wikidata.org
Berat Kısal,citizenOf,Turkey,wikidata_structured,https://www.wikidata.org
Bernard Rajzman,citizenOf,Brazil,wikidata_structured,https://www.wikidata.org
Kiattipong Radchatagriengkai,citizenOf,Thailand,wikidata_structured,https://www.wikidata.org
Brad Willock,citizenOf,Canada,wikidata_structured,https://www.wikidata.org
Brent Frohoff,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Brett Holcombe,citizenOf,Australia,wikidata_structured,https://www.wikidata.org
Brett Winslow,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Manuel Lohmann,citizenOf,Germany,wikidata_structured,https://www.wikidata.org
Waldemar Lesner,citizenOf,Germany,wikidata_structured,https://www.wikidata.org
Bryan Ivie,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Burak Hascan,citizenOf,Turkey,wikidata_structured,https://www.wikidata.org
Burak Yavuz,citizenOf,Turkey,wikidata_structured,https://www.wikidata.org
Butch May,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Armin Dewes,citizenOf,Germany,wikidata_structured,https://www.wikidata.org
Philipp Kroiss,citizenOf,Austria,wikidata_structured,https://www.wikidata.org
Carlos Tejeda,citizenOf,Venezuela,wikidata_structured,https://www.wikidata.org
Can Ayvazoğlu,citizenOf,Turkey,wikidata_structured,https://www.wikidata.org
Brent Hilliard,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Carlos Carreño,citizenOf,Spain,wikidata_structured,https://www.wikidata.org
Carlos Briceno,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Carlos Eduardo Albano Feitosa,citizenOf,Brazil,wikidata_structured,https://www.wikidata.org
Carlos Salas Pérez,citizenOf,Cuba,wikidata_structured,https://www.wikidata.org
Antônio Ribeiro,citizenOf,Brazil,wikidata_structured,https://www.wikidata.org
Yuan Zhi,citizenOf,People's Republic of China,wikidata_structured,https://www.wikidata.org
Evgeni Ivanov,citizenOf,Bulgaria,wikidata_structured,https://www.wikidata.org
Mamoru Shiragami,citizenOf,Empire of Japan,wikidata_structured,https://www.wikidata.org
Yasuhiro Noguchi,citizenOf,Empire of Japan,wikidata_structured,https://www.wikidata.org
Nikolay Apalikov,citizenOf,Russia,wikidata_structured,https://www.wikidata.org
David Lee,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Pavel Kruzhayev,citizenOf,Estonia,wikidata_structured,https://www.wikidata.org
Teodor Todorov,citizenOf,Bulgaria,wikidata_structured,https://www.wikidata.org
Pedro Cunha,citizenOf,Brazil,wikidata_structured,https://www.wikidata.org
Marko Liefke,citizenOf,Germany,wikidata_structured,https://www.wikidata.org
Marko Liefke,citizenOf,German Democratic Republic,wikidata_structured,https://www.wikidata.org
Filip Vujić,citizenOf,Serbia,wikidata_structured,https://www.wikidata.org
Isao Koizumi,citizenOf,Japan,wikidata_structured,https://www.wikidata.org
Igor Vušurović,citizenOf,Montenegro,wikidata_structured,https://www.wikidata.org
Uroš Kovačević,citizenOf,Serbia,wikidata_structured,https://www.wikidata.org
Mohammad Mousavi,citizenOf,Iran,wikidata_structured,https://www.wikidata.org
Robert Tarr,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Zbigniew Bartman,citizenOf,Poland,wikidata_structured,https://www.wikidata.org
Zbigniew Jasiukiewicz,citizenOf,Poland,wikidata_structured,https://www.wikidata.org
Lorenzo Bernardi,citizenOf,Italy,wikidata_structured,https://www.wikidata.org
Piotr Gruszka,citizenOf,Poland,wikidata_structured,https://www.wikidata.org
Lukáš Diviš,citizenOf,Slovakia,wikidata_structured,https://www.wikidata.org
Aleksandar Atanasijević,citizenOf,Serbia,wikidata_structured,https://www.wikidata.org
Reinder Nummerdor,citizenOf,Kingdom of the Netherlands,wikidata_structured,https://www.wikidata.org
Paolo Cozzi,citizenOf,Italy,wikidata_structured,https://www.wikidata.org
Ángel Dennis,citizenOf,Italy,wikidata_structured,https://www.wikidata.org
Ángel Dennis,citizenOf,Cuba,wikidata_structured,https://www.wikidata.org
Joost Borremans,citizenOf,Belgium,wikidata_structured,https://www.wikidata.org
Kay Matysik,citizenOf,Germany,wikidata_structured,https://www.wikidata.org
Jan van der Hoek,citizenOf,Kingdom of the Netherlands,wikidata_structured,https://www.wikidata.org
Matey Kaziyski,citizenOf,Bulgaria,wikidata_structured,https://www.wikidata.org
Adam Keefe,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Markus Dieckmann,citizenOf,Germany,wikidata_structured,https://www.wikidata.org
Stefan Uhmann,citizenOf,Germany,wikidata_structured,https://www.wikidata.org
Stefan Windscheif,citizenOf,Germany,wikidata_structured,https://www.wikidata.org
Dmitry Fomin,citizenOf,Russia,wikidata_structured,https://www.wikidata.org
Keith Erickson,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Ron Zwerver,citizenOf,Kingdom of the Netherlands,wikidata_structured,https://www.wikidata.org
Dmitry Fomin,citizenOf,Soviet Union,wikidata_structured,https://www.wikidata.org
Kars van Tarel,citizenOf,Kingdom of the Netherlands,wikidata_structured,https://www.wikidata.org
Philippe Blain,citizenOf,France,wikidata_structured,https://www.wikidata.org
Peter Blangé,citizenOf,Kingdom of the Netherlands,wikidata_structured,https://www.wikidata.org
Denis Kaliberda,citizenOf,Germany,wikidata_structured,https://www.wikidata.org
Alex Posthuma,citizenOf,Kingdom of the Netherlands,wikidata_structured,https://www.wikidata.org
Arie Selinger,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Arie Selinger,citizenOf,Israel,wikidata_structured,https://www.wikidata.org
Jacques de Vink,citizenOf,Kingdom of the Netherlands,wikidata_structured,https://www.wikidata.org
Sven Dörendahl,citizenOf,Germany,wikidata_structured,https://www.wikidata.org
Sven Kellermann,citizenOf,Germany,wikidata_structured,https://www.wikidata.org
Alessandro Farina,citizenOf,Italy,wikidata_structured,https://www.wikidata.org
Reid Priddy,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Sven Dörendahl,citizenOf,German Democratic Republic,wikidata_structured,https://www.wikidata.org
Pascal Brifaud,citizenOf,France,wikidata_structured,https://www.wikidata.org
Wilt Chamberlain,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Gregory Berrios,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Veljko Petković,citizenOf,Serbia,wikidata_structured,https://www.wikidata.org
Vital Heynen,citizenOf,Belgium,wikidata_structured,https://www.wikidata.org
Nathan French,citizenOf,France,wikidata_structured,https://www.wikidata.org
Oleg Moliboga,citizenOf,Soviet Union,wikidata_structured,https://www.wikidata.org
Ronald Zoodsma,citizenOf,Kingdom of the Netherlands,wikidata_structured,https://www.wikidata.org
Kristof Hoho,citizenOf,Belgium,wikidata_structured,https://www.wikidata.org
Jarmo Kaaretkoski,citizenOf,Finland,wikidata_structured,https://www.wikidata.org
Mohamed Amine Zouaoui,citizenOf,Tunisia,wikidata_structured,https://www.wikidata.org
Philippe Barca-Cysique,citizenOf,France,wikidata_structured,https://www.wikidata.org
Teun Buijs,citizenOf,Kingdom of the Netherlands,wikidata_structured,https://www.wikidata.org
Hans van Wijnen,citizenOf,Kingdom of the Netherlands,wikidata_structured,https://www.wikidata.org
Hendrik Tuerlinckx,citizenOf,Belgium,wikidata_structured,https://www.wikidata.org
Jeroen Trommel,citizenOf,Kingdom of the Netherlands,wikidata_structured,https://www.wikidata.org
Akis Chatziantoniou,citizenOf,Greece,wikidata_structured,https://www.wikidata.org
Marcin Możdżonek,citizenOf,Poland,wikidata_structured,https://www.wikidata.org
Nicolás Bruno,citizenOf,Argentina,wikidata_structured,https://www.wikidata.org
Vladimir Kondra,citizenOf,Soviet Union,wikidata_structured,https://www.wikidata.org
Mihajlo Mitić,citizenOf,Serbia,wikidata_structured,https://www.wikidata.org
Ákos Hoboth,citizenOf,Hungary,wikidata_structured,https://www.wikidata.org
Petr Konečný,citizenOf,Czech Republic,wikidata_structured,https://www.wikidata.org
Felix Fischer,citizenOf,Germany,wikidata_structured,https://www.wikidata.org
Dante Amaral,citizenOf,Brazil,wikidata_structured,https://www.wikidata.org
Ali Peçen,citizenOf,Turkey,wikidata_structured,https://www.wikidata.org
Yu Dawei,citizenOf,People's Republic of China,wikidata_structured,https://www.wikidata.org
Dejan Bojović,citizenOf,Serbia,wikidata_structured,https://www.wikidata.org
Fernando Morales,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Novica Bjelica,citizenOf,Serbia,wikidata_structured,https://www.wikidata.org
Zoran Jovanović,citizenOf,Bosnia and Herzegovina,wikidata_structured,https://www.wikidata.org
Shen Qiong,citizenOf,People's Republic of China,wikidata_structured,https://www.wikidata.org
Pavel Bartík,citizenOf,Slovakia,wikidata_structured,https://www.wikidata.org
Peter Diviš,citizenOf,Slovakia,wikidata_structured,https://www.wikidata.org
Pascal Ragondet,citizenOf,France,wikidata_structured,https://www.wikidata.org
Patrick Duflos,citizenOf,France,wikidata_structured,https://www.wikidata.org
Paul-Henry Wager,citizenOf,France,wikidata_structured,https://www.wikidata.org
Petr Karabec,citizenOf,Czech Republic,wikidata_structured,https://www.wikidata.org
Petr Pešl,citizenOf,Czech Republic,wikidata_structured,https://www.wikidata.org
Petr Zapletal,citizenOf,Czech Republic,wikidata_structured,https://www.wikidata.org
Paul Duerden,citizenOf,Canada,wikidata_structured,https://www.wikidata.org
Philippe Lecouls,citizenOf,France,wikidata_structured,https://www.wikidata.org
Philippe Salvan,citizenOf,France,wikidata_structured,https://www.wikidata.org
Piero Molducci,citizenOf,Italy,wikidata_structured,https://www.wikidata.org
Pierre Pourtalet,citizenOf,France,wikidata_structured,https://www.wikidata.org
Pierre Villemaine,citizenOf,France,wikidata_structured,https://www.wikidata.org
Pierrick Lyneel,citizenOf,France,wikidata_structured,https://www.wikidata.org
Viacheslav Platonov,citizenOf,Russia,wikidata_structured,https://www.wikidata.org
Ramazan Serkan Kılıç,citizenOf,Turkey,wikidata_structured,https://www.wikidata.org
Radovan Gavrilovic,citizenOf,Serbia,wikidata_structured,https://www.wikidata.org
Rajko Jokanović,citizenOf,Serbia,wikidata_structured,https://www.wikidata.org
Rafael Redwitz,citizenOf,Brazil,wikidata_structured,https://www.wikidata.org
Quentin Ayuso,citizenOf,France,wikidata_structured,https://www.wikidata.org
Quentin Marion,citizenOf,France,wikidata_structured,https://www.wikidata.org
Quentin Rossard,citizenOf,France,wikidata_structured,https://www.wikidata.org
Ratko Periš,citizenOf,Croatia,wikidata_structured,https://www.wikidata.org
Viacheslav Platonov,citizenOf,Soviet Union,wikidata_structured,https://www.wikidata.org
Raanui Roomataaroa,citizenOf,France,wikidata_structured,https://www.wikidata.org
Rafael Redwitz,citizenOf,France,wikidata_structured,https://www.wikidata.org
Raimo Pajusalu,citizenOf,Estonia,wikidata_structured,https://www.wikidata.org
Rich Duwelius,citizenOf,United States,wikidata_structured,https://www.wikidata.org
Raphaël Attie,citizenOf,France,wikidata_structured,https://www.wikidata.org
Raphaël Corre,citizenOf,France,wikidata_structured,https://www.wikidata.org
Raphaël Mrozek,citizenOf,France,wikidata_structured,https://www.wikidata.org
Raymond Aso,citizenOf,France,wikidata_structured,https://www.wikidata.org
Renaud Doué,citizenOf,France,wikidata_structured,https://www.wikidata.org
Renaud Lachaise,citizenOf,France,wikidata_structured,https://www.wikidata.org
Renaud Ventresque,citizenOf,France,wikidata_structured,https://www.wikidata.org
Mamoru Shiragami,citizenOf,Japan,wikidata_structured,https://www.wikidata.org
Yasuaki Mitsumori,citizenOf,Japan,wikidata_structured,https://www.wikidata.org
Yasuhiro Noguchi,citizenOf,Japan,wikidata_structured,https://www.wikidata.org
Yoshihide Fukao,citizenOf,Japan,wikidata_structured,https://www.wikidata.org
Rija Rafidison,citizenOf,France,wikidata_structured,https://www.wikidata.org
Rachid Boussarsar,citizenOf,Tunisia,wikidata_structured,https://www.wikidata.org
Frank Bachmann,citizenOf,Germany,wikidata_structured,https://www.wikidata.org
Samuel Fuchs,citizenOf,Brazil,wikidata_structured,https://www.wikidata.org
Marc Albert,citizenOf,Canada,wikidata_structured,https://www.wikidata.org
Rusmir Halilović,citizenOf,Bosnia and Herzegovina,wikidata_structured,https://www.wikidata.org
Joni Mikkonen,citizenOf,Finland,wikidata_structured,https://www.wikidata.org
José Manuel García Segura,citizenOf,Spain,wikidata_structured,https://www.wikidata.org
Julián García-Torres,citizenOf,Spain,wikidata_structured,https://www.wikidata.org
José Amet,citizenOf,France,wikidata_structured,https://www.wikidata.org
José Trèfle,citizenOf,France,wikidata_structured,https://www.wikidata.org
Juan Cuminetti,citizenOf,Italy,wikidata_structured,https://www.wikidata.org
Joshua Howatson,citizenOf,Canada,wikidata_structured,https://www.wikidata.org
Jure Kvesič,citizenOf,Croatia,wikidata_structured,https://www.wikidata.org
Július Sabo,citizenOf,Slovakia,wikidata_structured,https://www.wikidata.org
Jānis Pēda,citizenOf,Latvia,wikidata_structured,https://www.wikidata.org
Kemal Kıvanç Elgaz,citizenOf,Turkey,wikidata_structured,https://www.wikidata.org
Julien Anton,citizenOf,France,wikidata_structured,https://www.wikidata.org
Julien Bély,citizenOf,France,wikidata_structured,https://www.wikidata.org
Julien Conté,citizenOf,France,wikidata_structured,https://www.wikidata.org
Julien Delgard,citizenOf,France,wikidata_structured,https://www.wikidata.org
Julien Lecoq,citizenOf,France,wikidata_structured,https://www.wikidata.org
Julien Lemay,citizenOf,France,wikidata_structured,https://www.wikidata.org
Julien Lyneel,citizenOf,France,wikidata_structured,https://www.wikidata.org
Julien Soutarson,citizenOf,France,wikidata_structured,https://www.wikidata.org
Kamil Baránek,citizenOf,Czech Republic,wikidata_structured,https://www.wikidata.org
Juan Cuminetti,citizenOf,Argentina,wikidata_structured,https://www.wikidata.org
José Manuel García Segura,citizenOf,Andorra,wikidata_structured,https://www.wikidata.org
Jérémie Hébert,citizenOf,France,wikidata_structured,https://www.wikidata.org
Jérémie Thomann,citizenOf,France,wikidata_structured,https://www.wikidata.org
Jérémy Audric,citizenOf,France,wikidata_structured,https://www.wikidata.org
Jérémy Écaillet,citizenOf,France,wikidata_structured,https://www.wikidata.org
Jérémy Hilaire,citizenOf,France,wikidata_structured,https://www.wikidata.org
Jérémy Mérat,citizenOf,France,wikidata_structured,https://www.wikidata.org
Jérôme Albertini,citizenOf,France,wikidata_structured,https://www.wikidata.org
Jérôme Corda,citizenOf,France,wikidata_structured,https://www.wikidata.org
Junot Mistoco,citizenOf,France,wikidata_structured,https://www.wikidata.org
Keith Pupart,citizenOf,Estonia,wikidata_structured,https://www.wikidata.org
Kent Greves,citizenOf,Canada,wikidata_structured,https://www.wikidata.org
José Miguel Cáceres,citizenOf,Dominican Republic,wikidata_structured,https://www.wikidata.org
Kristjan Õuekallas,citizenOf,Estonia,wikidata_structured,https://www.wikidata.org
Kristjan Sikaste,citizenOf,Estonia,wikidata_structured,https://www.wikidata.org
Kévin Le Roux,citizenOf,France,wikidata_structured,https://www.wikidata.org
Kévin Rodolfo,citizenOf,France,wikidata_structured,https://www.wikidata.org
Krzysztof Stelmach,citizenOf,Poland,wikidata_structured,https://www.wikidata.org
Khaled Sanchou,citizenOf,Tunisia,wikidata_structured,https://www.wikidata.org
Petteri Laurila,citizenOf,Finland,wikidata_structured,https://www.wikidata.org
Kristian F. Knudsen,citizenOf,Kingdom of Denmark,wikidata_structured,https://www.wikidata.org
Laurentiu Lica,citizenOf,Romania,wikidata_structured,https://www.wikidata.org
Laurentiu-Fabian Birau,citizenOf,Romania,wikidata_structured,https://www.wikidata.org
Laurent Chambertin,citizenOf,France,wikidata_structured,https://www.wikidata.org
Laurent Tillie,citizenOf,France,wikidata_structured,https://www.wikidata.org
Leonardo Morsut,citizenOf,Italy,wikidata_structured,https://www.wikidata.org
Kalle Määttä,citizenOf,Finland,wikidata_structured,https://www.wikidata.org
Lars Lorsheijd,citizenOf,Kingdom of the Netherlands,wikidata_structured,https://www.wikidata.org
Lubomir Ostrihon,citizenOf,Slovakia,wikidata_structured,https://www.wikidata.org
Luka Šuljagić,citizenOf,Montenegro,wikidata_structured,https://www.wikidata.org
Lubomir Staněk,citizenOf,Czech Republic,wikidata_structured,https://www.wikidata.org
Luis Pedro Suela,citizenOf,Spain,wikidata_structured,https://www.wikidata.org
